Order_Date,Product,Region,Salesperson,Quantity,Price_per_Unit,Sales,Target
2025-06-24,Printer,South,Vikram,6,36798,220788,15678
2025-06-09,Keyboard,East,Arjun,3,39436,118308,173698
2025-03-01,Laptop,South,Rohit,7,3719,26033,43205
2025-01-07,Monitor,North,Karan,7,29203,204421,78267
2025-03-02,Keyboard,East,Priya,7,47338,331366,34246
2025-02-19,Laptop,West,Karan,2,30803,61606,77070
2025-03-31,Tablet,South,Priya,10,13686,136860,87182
2025-01-12,Tablet,South,Amit,4,23112,92448,7344
2025-01-19,Keyboard,West,Arjun,9,49206,442854,162101
2025-04-22,Headphones,North,Karan,4,20053,80212,91941
2025-05-22,Headphones,West,Neha,5,47607,238035,120297
2025-03-17,Monitor,North,Amit,3,11438,34314,165460
2025-05-18,Monitor,North,Neha,4,28889,115556,4495
2025-02-19,Headphones,North,Sneha,4,9317,37268,71431
2025-04-14,Printer,West,Arjun,10,2558,25580,124565
2025-04-03,Keyboard,North,Priya,3,29689,89067,141751
2025-02-03,Tablet,West,Sneha,6,14287,85722,97276
2025-01-13,Laptop,North,Arjun,1,10796,10796,115958
2025-02-01,Mouse,West,Neha,6,38335,230010,42208
2025-01-21,Printer,West,Neha,4,22165,88660,108371
2025-06-23,Mouse,North,Arjun,3,6392,19176,175418
2025-06-20,Keyboard,South,Arjun,4,18082,72328,146477
2025-02-17,Keyboard,North,Vikram,4,35482,141928,135266
2025-03-29,Monitor,East,Neha,8,38817,310536,117374
2025-03-24,Monitor,South,Amit,7,43878,307146,178444
2025-06-21,Tablet,West,Karan,5,24827,124135,86882
2025-05-05,Tablet,East,Vikram,6,48096,288576,87771
2025-03-03,Keyboard,West,Sneha,1,34491,34491,191064
2025-05-20,Printer,South,Karan,2,27540,55080,30969
2025-06-18,Tablet,North,Rohit,8,48837,390696,106767
2025-04-27,Laptop,West,Sneha,9,7841,70569,47331
2025-04-09,Printer,East,Amit,10,13508,135080,93518
2025-01-05,Mouse,North,Arjun,10,38254,382540,169491
2025-02-28,Mouse,South,Amit,2,48022,96044,24693
2025-01-14,Printer,West,Rohit,5,31043,155215,181985
2025-04-23,Keyboard,North,Arjun,2,14950,29900,153431
2025-06-13,Headphones,West,Arjun,1,48073,48073,26902
2025-05-22,Headphones,East,Sneha,7,17606,123242,41322
2025-06-18,Monitor,East,Karan,5,12162,60810,79992
2025-05-09,Headphones,West,Amit,6,21865,131190,50834
2025-02-24,Keyboard,West,Sneha,1,18501,18501,11674
2025-02-23,Printer,North,Vikram,2,32905,65810,10935
2025-05-21,Monitor,North,Sneha,1,16344,16344,15835
2025-05-14,Monitor,North,Karan,4,10285,41140,66270
2025-01-03,Printer,South,Neha,7,15564,108948,76498
2025-01-06,Laptop,West,Sneha,4,10015,40060,5101
2025-03-01,Printer,West,Rohit,5,40740,203700,160774
2025-05-31,Keyboard,South,Priya,8,41793,334344,120709
2025-06-21,Keyboard,West,Arjun,3,4427,13281,117055
2025-01-03,Mouse,South,Amit,2,28253,56506,83476
2025-04-10,Monitor,East,Rohit,6,21475,128850,17644
2025-02-21,Tablet,East,Vikram,10,34639,346390,136886
2025-05-30,Keyboard,South,Rohit,1,21816,21816,197721
2025-03-28,Monitor,West,Neha,1,39528,39528,107799
2025-04-05,Headphones,South,Rohit,5,48662,243310,58243
2025-01-28,Printer,South,Amit,1,42989,42989,21964
2025-05-25,Headphones,South,Arjun,5,44523,222615,9321
2025-04-05,Printer,West,Priya,5,45939,229695,168940
2025-02-19,Monitor,North,Amit,4,35039,140156,112737
2025-06-06,Monitor,South,Amit,6,18695,112170,98813
2025-05-09,Monitor,East,Rohit,7,24844,173908,96619
2025-03-12,Laptop,East,Neha,8,29514,236112,124024
2025-04-23,Monitor,East,Priya,7,7530,52710,193326
2025-01-05,Headphones,North,Sneha,8,14032,112256,139143
2025-05-02,Printer,East,Karan,2,35750,71500,59687
2025-06-17,Printer,South,Sneha,2,34942,69884,111218
2025-06-26,Mouse,North,Amit,2,8510,17020,142256
2025-02-03,Tablet,South,Rohit,9,28612,257508,24883
2025-01-14,Keyboard,South,Karan,5,7044,35220,102900
2025-02-13,Tablet,North,Rohit,5,39889,199445,118922
2025-05-27,Keyboard,West,Karan,2,38008,76016,111285
2025-05-11,Keyboard,West,Vikram,7,811,5677,44164
2025-02-20,Headphones,South,Sneha,10,46234,462340,178133
2025-02-18,Headphones,West,Priya,6,38014,228084,125949
2025-05-17,Mouse,South,Neha,3,42121,126363,174099
2025-05-01,Mouse,East,Neha,8,3918,31344,146873
2025-01-26,Keyboard,East,Rohit,4,21820,87280,175414
2025-06-22,Keyboard,South,Amit,9,17711,159399,124399
2025-04-05,Monitor,West,Karan,9,43245,389205,30241
2025-01-26,Tablet,West,Karan,6,38752,232512,149004
2025-01-16,Headphones,South,Karan,2,12289,24578,123636
2025-01-11,Tablet,North,Karan,8,25902,207216,183269
2025-06-29,Keyboard,South,Karan,5,17640,88200,143961
2025-02-20,Mouse,North,Arjun,5,30502,152510,36515
2025-03-07,Printer,West,Arjun,4,43847,175388,87797
2025-03-10,Headphones,West,Arjun,2,17421,34842,31431
2025-02-27,Tablet,North,Vikram,5,43763,218815,51029
2025-05-12,Tablet,North,Priya,10,12233,122330,104323
2025-04-22,Monitor,North,Vikram,6,33681,202086,48471
2025-03-30,Mouse,West,Rohit,1,37238,37238,196328
2025-06-24,Tablet,North,Amit,6,34150,204900,20310
2025-05-11,Printer,North,Arjun,5,40303,201515,72721
2025-03-14,Headphones,North,Karan,8,13594,108752,176941
2025-04-13,Tablet,West,Karan,5,14541,72705,67566
2025-05-31,Tablet,East,Neha,3,2510,7530,74738
2025-01-23,Headphones,East,Arjun,3,26161,78483,6812
2025-02-07,Mouse,South,Arjun,7,18172,127204,119534
2025-04-28,Monitor,South,Amit,10,2973,29730,162466
2025-04-19,Headphones,East,Vikram,7,2410,16870,12889
2025-04-15,Laptop,West,Amit,10,48460,484600,20169
2025-02-15,Tablet,East,Sneha,5,30720,153600,176776
2025-05-14,Mouse,East,Amit,2,39853,79706,125449
2025-01-20,Tablet,South,Rohit,10,49090,490900,103160
2025-01-05,Tablet,East,Vikram,3,820,2460,183133
2025-02-11,Tablet,West,Priya,10,15010,150100,22152
2025-04-29,Printer,East,Amit,10,47053,470530,63501
2025-01-09,Headphones,East,Amit,9,38779,349011,68014
2025-06-01,Monitor,South,Amit,1,25798,25798,153205
2025-04-04,Laptop,East,Sneha,7,37647,263529,20148
2025-01-29,Tablet,North,Karan,1,21319,21319,26096
2025-03-25,Tablet,North,Neha,6,16650,99900,35077
2025-01-14,Printer,South,Vikram,9,16338,147042,120964
2025-02-06,Headphones,West,Priya,1,31258,31258,20446
2025-01-02,Headphones,East,Sneha,1,12836,12836,19004
2025-06-04,Keyboard,South,Rohit,7,43943,307601,106456
2025-06-30,Mouse,East,Neha,3,20204,60612,101711
2025-05-19,Headphones,South,Vikram,9,40351,363159,75076
2025-03-11,Headphones,East,Karan,6,41148,246888,99702
2025-06-21,Keyboard,West,Priya,8,15960,127680,44901
2025-03-29,Tablet,South,Priya,9,49319,443871,67620
2025-06-10,Monitor,West,Priya,3,24224,72672,166324
2025-05-10,Tablet,East,Vikram,10,18634,186340,16819
2025-04-01,Tablet,West,Karan,6,2693,16158,24190
2025-04-08,Printer,North,Vikram,6,11476,68856,154384
2025-02-19,Mouse,East,Vikram,2,4135,8270,82437
2025-04-27,Keyboard,South,Amit,3,28862,86586,17831
2025-04-12,Printer,West,Vikram,1,35864,35864,193165
2025-05-27,Mouse,South,Arjun,5,6116,30580,164480
2025-03-01,Keyboard,West,Vikram,10,23860,238600,62846
2025-01-24,Keyboard,South,Sneha,6,21580,129480,123452
2025-05-09,Headphones,North,Amit,9,27230,245070,73530
2025-05-02,Printer,West,Amit,6,34699,208194,97377
2025-02-07,Laptop,East,Vikram,1,31467,31467,113999
2025-05-26,Laptop,North,Neha,3,32978,98934,189370
2025-04-21,Mouse,West,Rohit,8,16445,131560,95852
2025-02-08,Tablet,North,Karan,2,46923,93846,163603
2025-06-13,Monitor,East,Karan,3,46402,139206,2509
2025-02-27,Laptop,East,Amit,9,17783,160047,15353
2025-03-26,Tablet,West,Rohit,7,4660,32620,113266
2025-02-22,Monitor,West,Rohit,2,5169,10338,13808
2025-05-01,Keyboard,East,Arjun,5,24527,122635,108626
2025-01-08,Mouse,West,Priya,8,10524,84192,100160
2025-02-12,Mouse,South,Arjun,4,48277,193108,81485
2025-02-05,Keyboard,South,Amit,2,32663,65326,13314
2025-06-16,Tablet,East,Arjun,7,18732,131124,49070
2025-02-12,Keyboard,West,Vikram,10,2977,29770,164240
2025-05-01,Keyboard,North,Sneha,3,38244,114732,3334
2025-05-23,Laptop,North,Arjun,4,17619,70476,186245
2025-02-24,Laptop,West,Neha,3,49878,149634,12401
2025-04-29,Printer,North,Neha,10,27966,279660,169057
2025-01-21,Headphones,East,Rohit,9,41409,372681,73757
2025-06-24,Printer,North,Karan,4,44866,179464,53239
2025-01-03,Printer,East,Neha,10,19813,198130,50327
2025-06-13,Tablet,South,Neha,8,37915,303320,37586
2025-06-12,Printer,East,Karan,1,29284,29284,111278
2025-02-14,Monitor,East,Neha,1,44716,44716,11207
2025-04-24,Tablet,South,Karan,9,2824,25416,184029
2025-05-31,Laptop,East,Arjun,1,32374,32374,80169
2025-06-16,Monitor,West,Vikram,2,12552,25104,147896
2025-05-04,Keyboard,East,Rohit,4,3570,14280,142363
2025-06-12,Keyboard,East,Karan,5,12568,62840,198405
2025-03-11,Keyboard,East,Neha,4,42908,171632,18090
2025-03-06,Mouse,West,Rohit,7,3173,22211,154885
2025-02-21,Headphones,West,Priya,8,12167,97336,32693
2025-01-24,Monitor,North,Arjun,3,9093,27279,113908
2025-03-27,Printer,South,Arjun,10,41391,413910,145577
2025-01-01,Tablet,East,Priya,6,13188,79128,46984
2025-02-20,Laptop,West,Sneha,4,23643,94572,58181
2025-03-23,Printer,East,Arjun,1,38693,38693,44488
2025-06-26,Tablet,South,Amit,10,22740,227400,111598
2025-06-09,Tablet,South,Priya,8,41040,328320,194483
2025-04-06,Laptop,West,Sneha,4,47778,191112,101651
2025-01-23,Tablet,East,Priya,3,6625,19875,102282
2025-02-22,Headphones,West,Neha,6,36513,219078,198997
2025-05-04,Keyboard,North,Karan,7,40880,286160,53248
2025-01-08,Laptop,West,Rohit,5,8172,40860,125089
2025-02-12,Printer,West,Neha,10,17962,179620,172651
2025-03-17,Tablet,South,Arjun,10,13447,134470,10039
2025-01-13,Laptop,North,Vikram,5,44328,221640,155307
2025-03-24,Tablet,South,Vikram,4,33638,134552,13091
2025-02-24,Laptop,North,Neha,9,15585,140265,107708
2025-03-17,Printer,East,Vikram,1,36419,36419,94803
2025-06-03,Headphones,North,Sneha,7,45611,319277,88240
2025-05-11,Mouse,North,Neha,1,1262,1262,182279
2025-04-26,Printer,West,Priya,10,49530,495300,94866
2025-03-20,Monitor,North,Rohit,9,38792,349128,36552
2025-06-07,Monitor,South,Amit,3,26313,78939,180452
2025-01-21,Headphones,North,Arjun,1,49394,49394,27582
2025-06-17,Monitor,North,Priya,3,6019,18057,41228
2025-03-26,Headphones,North,Rohit,7,48175,337225,52197
2025-05-21,Laptop,South,Arjun,2,48150,96300,193738
2025-04-28,Laptop,West,Amit,6,38693,232158,93353
2025-02-28,Monitor,East,Amit,2,14951,29902,34103
2025-04-24,Tablet,South,Sneha,6,31878,191268,16252
2025-06-11,Monitor,North,Rohit,8,26720,213760,77878
2025-02-05,Tablet,East,Amit,8,24606,196848,25537
2025-01-16,Monitor,South,Neha,6,16690,100140,151838
2025-05-04,Tablet,West,Rohit,8,29845,238760,152483
2025-02-19,Laptop,East,Rohit,7,24118,168826,83436
2025-02-21,Mouse,West,Karan,1,32163,32163,36522
2025-05-16,Monitor,North,Arjun,3,32238,96714,138529
2025-01-15,Printer,South,Neha,2,28578,57156,31825
2025-02-13,Headphones,South,Sneha,9,46403,417627,115591
2025-03-17,Headphones,South,Rohit,9,16156,145404,94660
2025-05-08,Printer,North,Karan,8,1373,10984,66107
2025-06-03,Mouse,West,Sneha,6,760,4560,29521
2025-03-10,Tablet,South,Rohit,5,7365,36825,187106
2025-06-19,Keyboard,South,Priya,4,48597,194388,165461
2025-03-08,Keyboard,South,Priya,9,24370,219330,60940
2025-05-19,Mouse,South,Arjun,4,17949,71796,41870
2025-01-17,Mouse,North,Vikram,6,48641,291846,190449
2025-05-22,Laptop,East,Karan,9,46321,416889,88666
2025-01-06,Keyboard,East,Amit,2,8476,16952,62514
2025-04-24,Printer,West,Priya,5,26357,131785,58444
2025-05-04,Headphones,North,Neha,4,37285,149140,153663
2025-06-27,Headphones,West,Rohit,1,27621,27621,13150
2025-06-19,Monitor,South,Amit,8,11215,89720,58070
2025-05-18,Monitor,South,Rohit,3,33233,99699,52664
2025-05-05,Tablet,South,Neha,1,49301,49301,49975
2025-01-13,Keyboard,East,Vikram,2,35118,70236,120885
2025-04-14,Printer,West,Karan,6,9588,57528,146213
2025-06-23,Monitor,South,Rohit,9,24146,217314,54555
2025-04-18,Monitor,East,Priya,8,7695,61560,103239
2025-05-21,Headphones,East,Karan,9,26253,236277,71763
2025-04-26,Keyboard,North,Karan,9,21411,192699,75286
2025-01-09,Mouse,North,Amit,1,31142,31142,142293
2025-03-14,Mouse,East,Vikram,8,18594,148752,60279
2025-04-18,Tablet,East,Rohit,8,18569,148552,163061
2025-03-08,Mouse,North,Neha,4,23129,92516,176344
2025-06-23,Headphones,East,Karan,3,27861,83583,110682
2025-04-13,Laptop,North,Arjun,10,23348,233480,183756
2025-06-09,Keyboard,East,Amit,9,20812,187308,87397
2025-04-08,Headphones,South,Karan,1,42438,42438,23204
2025-01-07,Mouse,East,Sneha,9,39905,359145,114216
2025-03-29,Monitor,North,Vikram,1,27323,27323,130453
2025-05-27,Keyboard,East,Neha,9,31654,284886,20916
2025-04-08,Monitor,West,Arjun,6,47375,284250,24480
2025-04-06,Laptop,West,Arjun,4,18825,75300,132942
2025-03-13,Keyboard,East,Sneha,5,32261,161305,154051
2025-02-03,Tablet,West,Neha,8,41608,332864,3837
2025-02-23,Tablet,East,Karan,3,28134,84402,190370
2025-03-16,Printer,West,Amit,7,23778,166446,73475
2025-06-23,Laptop,North,Rohit,4,12110,48440,37918
2025-02-16,Monitor,South,Arjun,5,33463,167315,148645
2025-01-19,Keyboard,West,Vikram,10,42461,424610,118709
2025-06-18,Laptop,North,Arjun,7,30087,210609,114911
2025-06-26,Laptop,South,Karan,1,40743,40743,138274
2025-04-08,Headphones,East,Vikram,3,20583,61749,112320
2025-03-14,Tablet,East,Amit,1,9263,9263,193201
2025-01-26,Monitor,South,Rohit,6,9357,56142,32762
2025-03-17,Monitor,West,Sneha,6,44680,268080,140660
2025-05-27,Mouse,West,Arjun,10,47609,476090,154596
2025-02-18,Mouse,South,Priya,1,10164,10164,117601
2025-01-28,Monitor,South,Sneha,3,47780,143340,140571
2025-03-16,Laptop,South,Vikram,6,4972,29832,75893
2025-04-02,Laptop,North,Vikram,6,36690,220140,89021
2025-04-16,Printer,East,Karan,2,26263,52526,195500
2025-02-10,Printer,South,Vikram,2,47670,95340,113521
2025-04-02,Mouse,West,Amit,2,13746,27492,81020
2025-06-28,Tablet,North,Amit,1,689,689,65981
2025-04-10,Keyboard,North,Karan,5,29619,148095,139849
2025-01-01,Mouse,North,Karan,8,1483,11864,104140
2025-01-23,Laptop,North,Arjun,10,37041,370410,64414
2025-01-23,Printer,North,Vikram,7,30717,215019,148650
2025-04-02,Headphones,South,Neha,6,42889,257334,52150
2025-03-30,Laptop,North,Sneha,8,5860,46880,103897
2025-02-03,Headphones,West,Sneha,10,28388,283880,73339
2025-05-04,Printer,East,Rohit,3,10931,32793,143068
2025-06-05,Laptop,South,Sneha,3,21004,63012,152251
2025-06-03,Monitor,South,Priya,2,5295,10590,37354
2025-06-19,Keyboard,South,Amit,3,11138,33414,27294
2025-04-25,Mouse,East,Neha,1,32476,32476,77747
2025-06-10,Laptop,South,Sneha,5,11362,56810,78388
2025-04-16,Keyboard,North,Sneha,6,12951,77706,136548
2025-06-06,Tablet,South,Sneha,2,19499,38998,88905
2025-01-09,Laptop,South,Vikram,2,28392,56784,161067
2025-01-01,Headphones,East,Neha,10,26039,260390,198857
2025-02-13,Tablet,East,Amit,1,20087,20087,31924
2025-01-08,Tablet,South,Vikram,2,722,1444,113339
2025-05-23,Monitor,North,Priya,6,35600,213600,23620
2025-01-06,Monitor,East,Vikram,5,47016,235080,103584
2025-04-18,Laptop,West,Priya,6,24718,148308,172199
2025-04-06,Printer,South,Arjun,1,34850,34850,117755
2025-01-05,Keyboard,East,Priya,2,37986,75972,63094
2025-03-07,Printer,West,Karan,10,47122,471220,193076
2025-03-06,Keyboard,South,Vikram,8,43904,351232,193690
2025-03-22,Laptop,South,Karan,2,36970,73940,130417
2025-03-10,Mouse,East,Sneha,10,3278,32780,13869
2025-04-05,Monitor,North,Amit,8,28971,231768,105027
2025-06-28,Keyboard,West,Arjun,6,18974,113844,2267
2025-03-04,Laptop,South,Vikram,4,10509,42036,20772
2025-06-13,Printer,East,Arjun,8,3860,30880,113473
2025-05-14,Mouse,North,Karan,5,5258,26290,46823
2025-04-04,Monitor,South,Neha,10,27460,274600,177840
2025-05-10,Tablet,South,Arjun,8,25936,207488,157648
2025-04-09,Laptop,North,Amit,4,3911,15644,139450
2025-02-12,Keyboard,East,Sneha,2,9950,19900,28160
2025-05-28,Printer,East,Arjun,5,8664,43320,35162
2025-05-14,Laptop,South,Sneha,6,12478,74868,46438
2025-01-02,Printer,South,Priya,3,11546,34638,147798
2025-01-16,Tablet,East,Rohit,8,32853,262824,86229
2025-02-19,Printer,North,Karan,2,21135,42270,47232
2025-06-03,Headphones,West,Neha,7,32012,224084,126099
2025-02-25,Monitor,North,Amit,8,2051,16408,69774
2025-04-12,Printer,South,Rohit,1,30741,30741,57607
2025-02-09,Printer,North,Vikram,1,33587,33587,143993
2025-04-06,Laptop,South,Vikram,2,28147,56294,127105
2025-06-12,Headphones,South,Priya,3,49359,148077,99848
2025-04-17,Monitor,West,Rohit,7,27141,189987,149381
2025-01-05,Tablet,North,Karan,9,29974,269766,26495
2025-04-10,Tablet,East,Sneha,2,44020,88040,83471
2025-05-06,Mouse,West,Karan,9,3735,33615,94962
2025-04-23,Headphones,South,Priya,8,5346,42768,28605
2025-02-16,Printer,West,Rohit,7,1952,13664,34756
2025-01-24,Laptop,North,Priya,8,34172,273376,87947
2025-01-26,Printer,East,Vikram,7,8775,61425,162393
2025-06-30,Monitor,North,Amit,1,5033,5033,163975
2025-04-07,Mouse,West,Neha,9,26674,240066,176653
2025-03-07,Headphones,West,Rohit,2,20196,40392,107870
2025-06-22,Tablet,West,Arjun,9,28940,260460,46050
2025-03-27,Tablet,South,Vikram,2,27434,54868,160589
2025-06-02,Keyboard,East,Vikram,4,36342,145368,189859
2025-02-04,Headphones,West,Arjun,4,3901,15604,184772
2025-01-08,Mouse,North,Sneha,10,28554,285540,135372
2025-04-07,Laptop,East,Vikram,9,18725,168525,115585
2025-03-02,Mouse,East,Rohit,8,26211,209688,21618
2025-01-13,Headphones,South,Arjun,7,3492,24444,22594
2025-03-11,Monitor,North,Rohit,4,18500,74000,5422
2025-03-05,Tablet,East,Rohit,6,6460,38760,103081
2025-04-17,Tablet,West,Amit,2,46058,92116,25813
2025-03-25,Keyboard,South,Arjun,9,35127,316143,50316
2025-02-03,Headphones,East,Sneha,9,6739,60651,4204
2025-06-17,Monitor,South,Priya,1,7128,7128,38590
2025-01-02,Monitor,North,Amit,8,30789,246312,105164
2025-05-25,Headphones,East,Neha,6,34167,205002,146270
2025-06-03,Monitor,South,Neha,4,27982,111928,59760
2025-03-24,Monitor,West,Karan,1,45178,45178,89864
2025-03-02,Mouse,South,Sneha,1,20686,20686,7343
2025-06-09,Monitor,South,Vikram,7,22176,155232,107152
2025-01-20,Tablet,South,Vikram,10,34977,349770,109779
2025-04-23,Mouse,South,Arjun,9,24713,222417,136135
2025-03-23,Printer,South,Neha,9,14634,131706,173931
2025-06-04,Tablet,West,Rohit,7,42281,295967,184916
2025-05-31,Laptop,South,Priya,2,22094,44188,182139
2025-01-30,Headphones,East,Priya,9,48438,435942,163276
2025-05-20,Headphones,South,Sneha,1,1806,1806,98167
2025-02-05,Monitor,West,Neha,2,1797,3594,66892
2025-04-17,Keyboard,South,Neha,8,22146,177168,118554
2025-05-04,Monitor,South,Rohit,3,28890,86670,172326
2025-03-27,Printer,South,Amit,7,30365,212555,54007
2025-04-27,Printer,North,Vikram,7,27290,191030,77872
2025-03-15,Printer,South,Karan,10,15468,154680,169006
2025-01-31,Keyboard,West,Amit,5,15432,77160,190589
2025-01-02,Headphones,South,Amit,1,17385,17385,4641
2025-03-17,Laptop,South,Amit,3,23172,69516,31201
2025-05-02,Printer,West,Neha,3,35143,105429,100376
2025-04-08,Tablet,West,Karan,7,19613,137291,42844
2025-02-14,Monitor,East,Neha,5,29175,145875,186272
2025-04-27,Laptop,South,Vikram,2,761,1522,189024
2025-05-14,Monitor,East,Vikram,7,44005,308035,37581
2025-02-26,Laptop,South,Amit,5,37830,189150,31795
2025-02-27,Tablet,East,Neha,10,30990,309900,125498
2025-03-19,Tablet,East,Rohit,7,37276,260932,180999
2025-03-15,Tablet,East,Priya,5,3614,18070,71148
2025-01-16,Printer,West,Rohit,2,1787,3574,197185
2025-04-05,Tablet,South,Rohit,8,43962,351696,120776
2025-06-21,Printer,North,Rohit,2,19618,39236,183348
2025-04-08,Laptop,South,Rohit,2,38277,76554,182550
2025-04-13,Printer,South,Amit,1,3112,3112,62200
2025-03-09,Headphones,East,Vikram,2,30874,61748,137747
2025-01-02,Monitor,West,Amit,4,47293,189172,48722
2025-04-02,Laptop,West,Vikram,6,10877,65262,7236
2025-06-08,Printer,South,Vikram,8,30420,243360,186528
2025-06-21,Monitor,North,Arjun,8,13527,108216,153211
2025-05-09,Keyboard,East,Karan,10,15821,158210,72198
2025-04-03,Mouse,South,Karan,10,34229,342290,152768
2025-03-23,Keyboard,South,Vikram,7,31430,220010,134416
2025-06-08,Laptop,North,Priya,3,21727,65181,2891
2025-02-11,Tablet,West,Neha,3,29607,88821,158950
2025-02-10,Mouse,North,Neha,1,644,644,146723
2025-01-05,Laptop,East,Amit,4,28064,112256,116065
2025-01-18,Tablet,South,Amit,1,24725,24725,181395
2025-02-22,Mouse,West,Arjun,2,44693,89386,160974
2025-06-25,Printer,West,Vikram,2,16245,32490,45211
2025-06-12,Keyboard,South,Neha,7,44286,310002,53103
2025-01-31,Monitor,West,Amit,10,11716,117160,12522
2025-02-19,Keyboard,West,Neha,9,23027,207243,190858
2025-06-06,Tablet,South,Priya,8,34403,275224,68205
2025-06-16,Headphones,South,Priya,6,9157,54942,183798
2025-03-26,Laptop,East,Priya,6,9445,56670,10860
2025-06-12,Tablet,East,Arjun,7,34382,240674,187135
2025-04-07,Laptop,North,Arjun,9,18084,162756,35224
2025-06-29,Printer,West,Priya,2,6705,13410,30536
2025-06-29,Headphones,South,Sneha,3,45185,135555,187399
2025-05-02,Keyboard,North,Neha,2,7759,15518,93200
2025-05-09,Laptop,East,Rohit,8,46762,374096,70593
2025-03-13,Monitor,North,Neha,5,42323,211615,45351
2025-02-05,Keyboard,North,Amit,2,42917,85834,45708
2025-05-01,Monitor,South,Vikram,5,22712,113560,190408
2025-01-02,Mouse,West,Sneha,4,34333,137332,60929
2025-06-01,Headphones,North,Rohit,8,1166,9328,65865
2025-04-18,Keyboard,North,Vikram,2,34056,68112,97353
2025-03-15,Monitor,South,Vikram,3,2768,8304,111146
2025-03-02,Laptop,North,Karan,8,18264,146112,119318
2025-01-11,Headphones,South,Rohit,2,685,1370,76726
2025-06-30,Keyboard,West,Priya,3,2591,7773,91798
2025-04-01,Tablet,East,Rohit,9,13193,118737,157635
2025-01-22,Tablet,North,Neha,2,23525,47050,86619
2025-04-01,Laptop,East,Rohit,3,25512,76536,112690
2025-05-10,Tablet,West,Priya,9,8108,72972,49293
2025-06-29,Keyboard,West,Priya,5,35537,177685,156841
2025-05-01,Monitor,East,Sneha,7,42441,297087,21585
2025-01-17,Printer,South,Neha,5,13342,66710,161553
2025-06-13,Monitor,West,Sneha,1,41298,41298,6304
2025-02-18,Monitor,South,Amit,8,44555,356440,134953
2025-06-07,Keyboard,East,Priya,10,26064,260640,46940
2025-06-10,Headphones,North,Vikram,2,44604,89208,52322
2025-03-04,Keyboard,South,Karan,9,38886,349974,144146
2025-01-25,Printer,North,Priya,3,18890,56670,191560
